Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
96007-004,1,30-Apr-96,"Department of Industry, Trade and Technology Client Information System - Progress Report",PTM,,96007 File,/cslt/docs/1996/96007/reports/body.book,
96007-005,1,18-May-96,"Department of Industry, Trade and Technology Client Information System - System Design Manual",PTM/CP,,96007 File,/cslt/docs/1996/96007/sdm/body.book,
96007-006,1,01-May-96,"Department of Industry, Trade and Technology Client Information System - Data Consolidation Manual",CP/DSY,,96007 File,/cslt/docs/1996/96007/dmd/body.book,
96007-007,1,21-Aug-96,Letter to Rosaling Marsh re: Data Modelling Tool,PTM,,96007 File,/cslt/docs/1996/96007/letters/Marsh_R_96-08-21.doc,
,,,,,,,,
96008-001,1,26-Feb-96,Letter requesting information on the BIDS tendering system,WNE for PTM,,96008 File,/cslt/docs/1996/96008/BIDS_96-02-26.doc,
,,,,,,,,
96010-001,1,28-Feb-96,Proposal to DFO to Enhance BIO ChartNet Node,BOR,,96010 File,/cslt/docs/1996/96010/proposal,
96010-002,1,12-Aug-96,Task list for BIO ChartNet node,LB,,96010 File,/cslt/docs/1996/96010/0_task_list.doc,
96010-003,1,05-Sep-96,Project Estimates for Completion of BIO Chartnet Node Enhancements.,LB,,96010 File,/cslt/docs/1996/96010/memo-96010-003.doc,
,,,,,,,,
96027-001,1,07-May-96,Technical Proposal to Industry Canada for Strategis Web Site Development,PTM,,96027 File,/cslt/docs/1996/96027/proposal/technical/body.bk,
96027-002,1,07-May-96,Cost Proposal to Industry Canada for Strategis Web Site Development,PTM/BOR,,96027 File,/cslt/docs/1996/96027/proposal/cost/body.book,
96027-003,1,18-Dec-96,Proposal to Industry Canada for bbdtt,PTM/BOR,,96027 File,/cslt/docs/1996/96027/bbdtt/proposal/,
96027-004,1,23-Dec-96,Frame Version of Strategis Style guide (Provided as text file only),LB,,96027 File,/cslt/docs/1996/96027/style_guide/0guide.bk,
96027-005,1,03-Jan-97,Letter to Pat Oliver for clarifications to proposal,BOR,,96027 File,/cslt/docs/1996/96027/letters/BBDTT_prop.doc,
96027-006,1,31-Jan-97,BBDTT Project Plan (new format).,WNE/BOR,,96027 File,/cslt/docs/1996/96027/project_plan/body.bk,
96027-007,1,31-Jan-97,BBDTT QA Plan (new format).,WNE,,96027 File,/cslt/docs/1996/96027/qa_plan/body.bk,
96027-008,1,07-Feb-97,BBDTT Requirements Traceability Matrix (RTM),WNE,,96027 File,/cslt/docs/1996/96027/bbdtt/rtm/rtm.doc,
96027-009,1,21-Mar-97,BBDTT Acceptance Test Plan (ATP),WNE,,96027 File,/cslt/docs/1996/96027/bbdtt/atp/0atp.bk,
96027-010,1,11-Apr-97,Letter to Diane Biage-Dumoulin to add Melissa to the BBDTT contract personnel list.,WNE,,96027 File,/cslt/docs/1996/96027/letters/melissa_ltr.doc,
,,,,,,,,
96034-001,1,14-May-96,Technical Proposal to DND for Bar Coding Equipment,PTM,,96034 File,/cslt/docs/1996/96034/proposal/technical/body.bk,
96034-002,1,14-May-96,Financial Proposal to DND for Bar Coding Equipment,PTM,,96034 File,/cslt/docs/1996/96034/proposal/cost/body.book,
96034-003,1,22-May-96,Letter to C. Beaudoin - Response to Questions on Proposal,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-003.doc,
96034-004,1,20-Jun-96,Letter to MWO Gratton - Shipment of Evaluation Unit,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-004.doc,
96034-005,1,20-Jun-96,Letter to C. Beaudoin - Shipment of Evaluation Unit,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-005.doc,
96034-006,1,09-Jul-96,Letter to N. Guarna - Availability of Epson Products for DND,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-006.doc,
96034-007,1,11-Jul-96,Letter to C. Beaudoin - Confirmation of Delivery Timeframe,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-007.doc,
96034-008,1,20-Aug-96,Letter to S. Smith - Request for Extension to Delivery Date,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-008.doc,
96034-009,1,20-Aug-96,Letter to T. Nishiuchi- Request for Clarification re: Labels,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-009.doc,
96034-010,1,23-Sep-96,Letter to T. Nishiuchi - Request for CF 1280 Forms,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-010.doc,
96034-011,1,08-Oct-97,Letter to T. Nishiuchi - RE: Schedule for training & programming services plus Warranty Renewal,PTM,,96034 File,/cslt/docs/1996/96034/letters/96034-011.doc,
,,,,,,,,
96035-001,1,03-Jun-96,Tourism Insert on Compusult for TAS,PTM/MT,,96035 File,/mjt/tourism/tas.doc (word),
,,,,,,,,
96038-001,1,28-May-96,Ice Chart Digitizing Services - Tecnical Offer (PWGSC Solicitation No. KM149-5-C022/A),PTM,,96038 File,/cslt/docs/1996/96038/proposal/technical/body.book,
96038-002,1,28-May-96,Ice Chart Digitizing Services - Peoposed Basis of Payment(PWGSC Solicitation No. KM149-5-C022/A),PTM,,96038 File,/cslt/docs/1996/96038/proposal/cost/body.book,
,,,,,,,,
96042-001,1,04-Jun-96,Letter requesting clearification of section 7.1 and 5.3 of RFP for the National Electronic Tendering Service (NETS),RWT,,Marketing,/cslt/docs/1996/96042/letters/96042-001.doc,
96042-002,1,05-Jul-96,Letter & company/project profile to Sayeed Reta from Canada Post for document handling proposal,MT,,Marketing,/cslt/docs/1996/96042/letters/96042-002.doc,
96042-003,1,09-Aug-96,Technical Proposal,,,Marketing,/cslt/docs/1996/96042/letters/96042-002.doc,
96042-004,1,09-Aug-96,Financial Proposal,,,,,
96042-005,1,09-Aug-96,National Electronic Tendering Service (NETS)- Project Plan,WNE,,,/cslt/docs/1996/96042/pplan/0pplan.bk,
96042-006,1,19-Dec-96,Letter to Dave Smith of Cebra Inc.,PTM,,96042 File,/cslt/docs/1996/96042/letters/96042-006.doc,
96042-007,1,10-Apr-01,Letter to ???,PTM/WNE,,96042 File,/cslt/docs/1996/96042/letters/96042-003.doc,
,,,,,,,,
96049-001,1,07-Mar-97,DigiCite Phase II Proposal,PTM,,96049 File,/cslt/docs/94069/proposal/project1/body.bk,
96049-002,1,07-Mar-97,WebCite and NaviTELL Proposal,PTM,,96049 File,/cslt/docs/94069/proposal/project2/body.bk,
96049-003,1,27-Mar-97,DigiCite Phase II Final Report,PTM,,96049 File,/cslt/docs/1996/96049/proposal/project1/report/body.book,
96049-004,1,18-Jul-97,Letter to George Streb re: Aug. 1/97 Meeting agenda,PTM,,96049 File,/cslt/docs/1996/96049/letters/Streb_G_97-07-18.doc,
96049-005,1,10-Dec-97,Letter to Dan Harn: Re: Materials/info he requested,PTM,,96049 File,/cslt/docs/1996/96049/letters/Harn_D_97-12-10.doc,
96049-006,1,19-Dec-97,Progress Report,PTM,,96049 File,/cslt/docs/1996/96049/webcite/market_analysis/body.bk,
96049-007,1,19-Dec-97,Market Analysis,PTM,,96049 File,/cslt/docs/1996/96049/webcite/progress_report/body.bk,
96049-008,1,13-May-97,WebCite System Design Document (SDM),PTM/JP/CP,,96049 File,/cslt/docs/1996/96049/webcite/sdm/body.book,
,,,,,,,,
96056-002,1,16-Oct-96,Letter to Ed Lewis for the Upgrade of CIDAS,BOR,,,/cslt/docs/1996/96056/letters/Lewis_E_96-10-16.doc,
96056-003,1,11-Dec-96,CHS CIDAS WWW Prototype Screens (NDI),CIC,,96056 SDF,/cslt/docs/1996/96056/wwwproto01/wwwproto01.doc,
96056-004,1,12-Dec-96,CHS CIDAS WWW Prototype Screens (CSLT),CIC,,96056 SDF,/cslt/docs/1996/96056/wwwproto02/wwwproto02.doc,
,,,,,,,,
96060-001,1,24-Apr-98,Automated Message Generator (AMG) - White Paper,PTM/BG,,96060 File,/cslt/docs/1996/96060/proposal1/body.bk,
96060-002,1,27-Apr-98,Covering Letter to MaryAnn Long (PGSC),PTM,,96060 File,/cslt/docs/letters/Long_M_98-04-27.doc,
,,,,,,,,
96068-001,1,31-Jul-96,Proposal for Health Care Needs Analysis,BOR,,96068 File,/cslt/docs/1996/96068/prop.doc,
,,,,,,,,
96072-001,1,13-Sep-96,Ammunition Procurement Planning System - Technical Proposal,PTM,,96072 File,/cslt/docs/1996/96072/proposal/technical/body.bk,
96072-002,1,13-Sep-96,Ammunition Procurement Planning System - Cost Proposal,PTM,,96072 File,/cslt/docs/1996/96072/proposal/cost/body.bk,
96072-003,1,07-Jan-97,Ammunition Procurement Planning System - SRS,PTM,,96072 File,/cslt/docs/1996/96072/srs/body.book,
96072-004,1,07-Jan-97,Ammunition Procurement Planning System - SDM,PTM/DVSY,,96072 File,/cslt/docs/1996/96072/sdm/body.book,
96072-007,1,20-Jan-97,Ammunition Procurement Planning System - Database conversion letter.,DY,,96072 Files,/cslt/docs/1996/96072/Letters/96072-007.doc,
96072-008,1,24-Jan-97,Ammunition Procurement Planning System- question document,DM/RW,,96072 Files,wordpad doc. on alpha/apps/mystery.doc,
96072-009,1,24-Jan-97,Ammunition Procurement Planning System - question 2 document,DM/RW,,96072 Files,wordpad doc. on alpha/apps/mystery2.doc,
